District Number,School Number,District Name,School Name,Overall Composite,Literacy Composite,Numeracy Composite,Literacy and Numeracy Composite,Social Studies Composite
274,5,Bradford,Bradford High School,1,1,2,1,5
274,10,Bradford,Bradford Elementary,4,3,4,3,5
275,15,Gibson Co Sp Dist,Dyer Elementary,5,3,3,3,5
275,33,Gibson Co Sp Dist,Gibson County High School,5,4,5,5,4
275,35,Gibson Co Sp Dist,Kenton Elementary School,3,3,3,3,NA
275,37,Gibson Co Sp Dist,South Gibson County High School,5,3,5,5,3
275,45,Gibson Co Sp Dist,South Gibson County Middle School,5,3,5,5,1
275,55,Gibson Co Sp Dist,Rutherford Elementary,4,4,4,4,3
275,65,Gibson Co Sp Dist,Spring Hill Elementary,3,4,1,3,3
275,85,Gibson Co Sp Dist,Yorkville Elementary,3,3,3,3,3
280,7,Giles County,Bridgeforth Middle School,4,5,4,5,1
280,35,Giles County,Elkton Elementary,1,2,1,1,3
280,45,Giles County,Giles Co High School,4,5,3,4,4
280,65,Giles County,Minor Hill School,5,3,5,5,5
280,81,Giles County,Richland Elementary,1,1,2,1,NA
280,84,Giles County,Richland School,4,4,4,5,3
280,87,Giles County,Southside Elementary,3,3,3,3,NA
290,5,Grainger County,Bean Station Elementary,5,3,5,5,5
290,8,Grainger County,Grainger High School,1,1,1,1,2
290,10,Grainger County,Joppa Elementary,2,3,2,2,4
290,18,Grainger County,Rutledge Elementary School,1,4,1,2,1
290,23,Grainger County,Rutledge Middle School,4,4,5,5,2
290,30,Grainger County,Washburn School,5,5,2,5,3
300,5,Greene County,Baileyton Elementary,3,5,2,3,1
300,10,Greene County,Camp Creek Elementary,3,3,3,3,5
300,20,Greene County,Chuckey Elementary,4,4,3,4,NA
300,25,Greene County,Chuckey Doak Middle School,5,4,5,5,5
300,28,Greene County,Chuckey Doak High School,1,1,2,1,NA
300,30,Greene County,Debusk Elementary,5,5,4,5,5
300,35,Greene County,Doak Elementary,5,4,5,5,NA
300,40,Greene County,Glenwood Elementary,5,4,5,5,3
300,55,Greene County,McDonald Elementary,3,4,1,3,5
300,60,Greene County,Mosheim Elementary,5,3,3,3,5
300,67,Greene County,Nolachuckey Elementary,2,1,3,2,4
300,70,Greene County,North Greene High School,5,4,5,5,3
300,75,Greene County,Ottway Elementary,4,2,5,4,3
300,80,Greene County,South Greene High School,5,5,4,5,NA
300,95,Greene County,West Greene High School,2,4,1,2,NA
300,100,Greene County,West Pines Elementary,3,4,3,3,1
301,8,Greeneville,C Hal Henard Elementary,1,2,2,1,NA
301,15,Greeneville,Eastview Elementary,3,3,3,3,NA
301,20,Greeneville,Greeneville High School,5,2,5,5,5
301,25,Greeneville,Greeneville Middle School,1,1,1,1,3
301,30,Greeneville,Highland Elementary,5,5,3,5,NA
301,35,Greeneville,Tusculum View Elementary,3,3,3,3,NA
310,15,Grundy County,Coalmont Elementary,1,2,2,1,3
310,25,Grundy County,Grundy County High School,4,3,3,3,5
310,35,Grundy County,North Elementary,3,3,3,3,3
310,40,Grundy County,Palmer Elementary,2,3,1,2,4
310,45,Grundy County,Pelham Elementary,2,1,3,1,4
310,60,Grundy County,Swiss Memorial Elementary,5,5,5,5,4
310,65,Grundy County,Tracy Elementary,3,3,3,3,3
320,5,Hamblen County,Alpha Elementary,3,4,1,3,NA
320,7,Hamblen County,East Ridge Middle School,3,1,3,2,4
320,10,Hamblen County,Fairview Marguerite,4,4,3,4,NA
320,11,Hamblen County,Hamblen County Alternative School,2,NA,2,2,NA
320,12,Hamblen County,Hillcrest Elementary,5,5,5,5,NA
320,14,Hamblen County,John Hay Elementary,3,4,1,3,NA
320,15,Hamblen County,Manley Elementary,5,5,3,5,NA
320,18,Hamblen County,Lincoln Heights Elementary,5,4,5,5,NA
320,20,Hamblen County,Russellville Elementary,4,2,5,4,NA
320,27,Hamblen County,Lincoln Heights Middle School,5,4,4,5,5
320,30,Hamblen County,Union Heights Elementary,2,2,2,2,NA
320,33,Hamblen County,West View Middle School,1,1,1,1,4
320,35,Hamblen County,Whitesburg Elementary,3,3,3,3,NA
320,37,Hamblen County,Meadowview Middle School,2,2,3,2,2
320,40,Hamblen County,Witt Elementary,2,2,3,2,NA
320,42,Hamblen County,Morristown East High,5,3,5,5,5
320,45,Hamblen County,Morristown West High,5,5,5,5,3
320,48,Hamblen County,West Elementary,5,5,3,5,NA
330,5,Hamilton County,Allen Elementary,5,5,5,5,NA
330,10,Hamilton County,Alpine Crest Elementary,5,5,5,5,NA
330,13,Hamilton County,Apison Elementary School,5,5,5,5,NA
330,16,Hamilton County,Battle Academy For Teaching  Learning,1,1,1,1,NA
330,17,Hamilton County,Bess T Shepherd Elementary,5,5,4,5,NA
330,19,Hamilton County,Big Ridge Elementary,5,4,4,5,NA
330,21,Hamilton County,Brainerd High School,1,3,2,2,1
330,33,Hamilton County,Tommie F. Brown Academy,3,2,5,3,NA
330,35,Hamilton County,Brown Middle School,1,1,2,1,3
330,37,Hamilton County,Calvin Donaldson Environmental Science Academy,5,5,4,5,NA
330,40,Hamilton County,Central High School,3,2,4,3,4
330,41,Hamilton County,Normal Park Museum Magnet School,3,2,1,1,5
330,45,Hamilton County,Chatt High Center For Creative Arts,4,5,4,5,3
330,46,Hamilton County,Chattanooga School For Arts And Sciences Upper,5,5,5,5,5
330,47,Hamilton County,Chattanooga School For The Arts And Science Lower,4,4,3,4,NA
330,48,Hamilton County,Clifton Hills Elementary,5,5,5,5,NA
330,50,Hamilton County,Daisy Elementary,5,3,5,5,NA
330,51,Hamilton County,McConnell Elementary,5,3,5,5,NA
330,55,Hamilton County,Dalewood Middle School,3,3,2,3,3
330,58,Hamilton County,Dupont Elementary,5,5,5,5,NA
330,59,Hamilton County,East Hamilton School,5,5,5,5,5
330,62,Hamilton County,East Brainerd Elementary,5,5,5,5,NA
330,63,Hamilton County,East Lake Elementary,5,5,3,5,NA
330,64,Hamilton County,East Lake Academy Of Fine Arts,4,3,3,3,5
330,65,Hamilton County,East Ridge Elementary,5,5,5,5,NA
330,70,Hamilton County,East Ridge High School,5,5,4,5,5
330,75,Hamilton County,East Ridge Middle School,5,2,5,4,5
330,78,Hamilton County,East Side Elementary,5,5,5,5,NA
330,85,Hamilton County,Middle Valley Elementary,5,3,5,5,NA
330,86,Hamilton County,Hamilton County Collegiate High at Chattanooga State,5,5,5,5,NA
330,90,Hamilton County,Harrison Elementary,3,3,3,3,NA
330,95,Hamilton County,Hamilton County High School,4,NA,5,5,3
330,97,Hamilton County,Barger Academy,3,3,3,3,NA
330,100,Hamilton County,Hunter Middle School,4,2,3,2,5
330,110,Hamilton County,Hardy Elementary School,4,3,5,4,NA
330,120,Hamilton County,Loftis Middle School,5,3,5,5,5
330,125,Hamilton County,Lookout Mountain Elementary,5,4,5,5,NA
330,127,Hamilton County,Hixson Elementary,5,4,4,5,NA
330,128,Hamilton County,Hixson High School,5,4,4,5,5
330,129,Hamilton County,Hixson Middle School,5,4,5,5,5
330,133,Hamilton County,Hillcrest Elementary,2,3,1,2,NA
330,137,Hamilton County,The Howard School,1,4,1,1,NA
330,147,Hamilton County,North Hamilton Elementary,2,3,1,2,NA
330,148,Hamilton County,Wolftever Creek Elementary,5,5,5,5,NA
330,149,Hamilton County,Nolan Elementary,4,3,5,4,NA
330,155,Hamilton County,Ooltewah Elementary,5,5,5,5,NA
330,157,Hamilton County,Ooltewah Middle School,1,1,1,1,5
330,159,Hamilton County,Lakeside Academy,5,3,5,5,NA
330,160,Hamilton County,Ooltewah High School,1,1,1,1,5
330,162,Hamilton County,Chattanooga School For The Liberal Arts,5,4,5,5,3
330,165,Hamilton County,Lookout Valley Middle / High School,3,3,3,3,3
330,171,Hamilton County,Red Bank Elementary,5,5,5,5,NA
330,175,Hamilton County,Red Bank High School,5,5,5,5,NA
330,180,Hamilton County,Red Bank Middle School,5,5,5,5,5
330,183,Hamilton County,Rivermont Elementary,5,5,4,5,NA
330,190,Hamilton County,Sale Creek Middle / High School,5,5,5,5,5
330,194,Hamilton County,Orchard Knob Elementary,4,5,3,4,NA
330,196,Hamilton County,Sequoyah High School,4,3,1,2,5
330,200,Hamilton County,Orchard Knob Middle,1,1,1,1,3
330,210,Hamilton County,Signal Mountain Middle/High School,1,1,1,1,2
330,215,Hamilton County,Snow Hill Elementary,5,3,5,5,NA
330,220,Hamilton County,Soddy Daisy High School,2,1,5,3,1
330,225,Hamilton County,Soddy Daisy Middle School,4,1,5,3,5
330,230,Hamilton County,Soddy Elementary,5,2,5,5,NA
330,235,Hamilton County,Spring Creek Elementary,3,4,1,3,NA
330,237,Hamilton County,Tyner Academy,5,5,4,5,NA
330,239,Hamilton County,Tyner Middle Academy,5,2,5,5,3
330,240,Hamilton County,Thrasher Elementary,5,4,5,5,NA
330,241,Hamilton County,Lookout Valley Elementary,4,3,5,4,NA
330,245,Hamilton County,Woodmore Elementary,4,4,4,4,NA
330,260,Hamilton County,Wallace A. Smith Elementary,5,5,5,5,NA
330,265,Hamilton County,Westview Elementary,5,5,5,5,NA
330,280,Hamilton County,STEM School Chattanooga,2,4,1,3,2
330,8001,Hamilton County,Chattanooga Girls Leadership Academy,5,5,5,5,5
330,8002,Hamilton County,"Ivy Academy, Inc.",4,3,3,3,5
330,8003,Hamilton County,Chattanooga Charter School of Excellence,5,4,5,5,NA
330,8010,Hamilton County,Chattanooga Charter School of Excellence Middle,5,5,3,5,1
330,8011,Hamilton County,Chattanooga Preparatory School,5,5,5,5,5
340,20,Hancock County,Hancock County Elementary,1,1,1,1,NA
340,25,Hancock County,Hancock High School,3,5,1,2,5
350,5,Hardeman County Schools,Bolivar Elementary,1,1,1,1,NA
350,10,Hardeman County Schools,Bolivar Middle School,5,2,5,5,4
350,15,Hardeman County Schools,Central High School,3,3,3,3,2
350,25,Hardeman County Schools,Grand Junction Elementary,5,4,4,5,3
350,30,Hardeman County Schools,Hornsby Elementary,2,3,1,2,3
350,35,Hardeman County Schools,Middleton Elementary,1,2,2,1,1
350,40,Hardeman County Schools,Middleton High School,1,2,1,1,1
350,45,Hardeman County Schools,Toone Elementary,3,3,1,2,3
350,55,Hardeman County Schools,Whiteville Elementary,1,1,3,2,1
360,15,Hardin County,Hardin County High School,4,1,5,4,5
360,17,Hardin County,Hardin County Middle School,5,3,5,5,5
360,19,Hardin County,East Hardin Elementary,2,1,3,2,NA
360,21,Hardin County,Northside Elementary,3,4,2,3,NA
360,45,Hardin County,Parris South Elementary,2,3,1,2,NA
360,50,Hardin County,Pickwick Southside School,4,3,5,4,3
360,67,Hardin County,West Hardin Elementary,3,3,4,3,NA
370,10,Hawkins County,Bulls Gap School,1,2,2,1,1
370,15,Hawkins County,Carter's Valley Elementary,1,1,1,1,NA
370,17,Hawkins County,Cherokee High School,5,3,5,5,3
370,20,Hawkins County,Church Hill Elementary,3,1,5,3,NA
370,23,Hawkins County,Church Hill Intermediate School,1,2,1,1,4
370,25,Hawkins County,Church Hill Middle School,1,1,1,1,2
370,30,Hawkins County,Clinch School,1,1,3,1,3
370,45,Hawkins County,Keplar Elementary,3,4,3,3,NA
370,55,Hawkins County,Mt Carmel Elementary,2,4,1,2,NA
370,60,Hawkins County,McPheeter's Bend Elementary,3,5,1,3,NA
370,65,Hawkins County,Mooresburg Elementary,2,2,2,2,NA
370,75,Hawkins County,Hawkins Elementary,1,1,1,1,NA
370,80,Hawkins County,Rogersville Middle School,1,1,1,1,1
370,90,Hawkins County,St Clair Elementary,3,3,3,3,NA
370,95,Hawkins County,Surgoinsville Elementary,2,3,3,2,NA
370,100,Hawkins County,Surgoinsville Middle School,1,2,2,2,2
370,105,Hawkins County,Volunteer High School,1,1,1,1,2
371,5,Rogersville,Rogersville Elementary,4,4,4,5,3
380,25,Haywood County,East Side Elementary,1,1,1,1,NA
380,35,Haywood County,Haywood Elementary,1,3,1,1,NA
380,40,Haywood County,Haywood High School,4,5,3,5,2
380,45,Haywood County,Haywood Middle School,3,3,4,4,2
390,5,Henderson County,Bargerton Elementary,3,5,1,3,5
390,10,Henderson County,Beaver Elementary,5,5,5,5,1
390,15,Henderson County,Lexington High School,5,5,5,5,3
390,20,Henderson County,Pin Oak Elementary,1,3,1,1,1
390,38,Henderson County,Scotts Hill Elementary,3,4,1,2,5
390,39,Henderson County,Scotts Hill High School,5,5,4,5,2
390,40,Henderson County,South Haven Elementary,3,2,4,3,1
390,45,Henderson County,Westover Elementary,5,3,5,5,3
390,50,Henderson County,South Side Elementary,5,4,5,5,3
391,5,Lexington,Paul G. Caywood Elementary,3,3,3,3,NA
391,10,Lexington,Lexington Middle School,5,5,3,4,4
400,12,Henry County,Dorothy And Noble Harrelson School,5,3,5,5,3
400,15,Henry County,E. W. Grove School,2,1,3,2,NA
400,20,Henry County,Henry Elementary,1,2,1,1,3
400,25,Henry County,Henry Co High School,3,5,1,3,3
400,33,Henry County,Lakewood Elementary,4,4,3,4,NA
400,34,Henry County,Lakewood Middle School,3,1,3,2,4
401,10,Paris,W O Inman Middle School,5,3,5,5,4
401,20,Paris,Paris Elementary,3,3,3,3,NA
410,7,Hickman County,Centerville Intermediate School,1,1,1,1,NA
410,16,Hickman County,East Hickman Intermediate School,1,1,1,1,NA
410,17,Hickman County,East Hickman Middle School,1,1,1,1,4
410,18,Hickman County,East Hickman High School,1,1,1,1,3
410,20,Hickman County,Hickman Co Middle School,1,1,1,1,1
410,30,Hickman County,Hickman Co Sr High School,4,3,3,3,5
420,5,Houston County,Erin Elementary,1,3,1,1,NA
420,10,Houston County,Houston Co Middle School,1,5,1,1,3
420,13,Houston County,Houston Co High School,3,4,3,3,3
420,15,Houston County,Tennessee Ridge Elementary,3,1,5,3,NA
430,5,Humphreys County,Lakeview Elementary,3,3,5,4,1
430,9,Humphreys County,Mc Ewen Elementary,1,3,1,1,NA
430,13,Humphreys County,McEwen Jr. High School,1,2,1,1,1
430,15,Humphreys County,Mc Ewen High School,1,5,1,2,1
430,20,Humphreys County,Waverly Central High School,5,5,2,5,4
430,25,Humphreys County,Waverly Elementary,5,5,5,5,NA
430,30,Humphreys County,Waverly Jr High School,1,3,1,1,1
440,5,Jackson County,Jackson County High School,1,1,1,1,NA
440,10,Jackson County,Dodson Branch Elementary,4,4,3,4,2
440,25,Jackson County,Gainesboro Elementary,1,3,1,1,NA
440,50,Jackson County,Jackson County Middle School,1,1,1,1,1
450,10,Jefferson County,Dandridge Elementary,3,3,2,3,NA
450,15,Jefferson County,Jefferson Elementary,5,4,5,5,NA
450,17,Jefferson County,Jefferson Middle School,1,3,1,1,1
450,20,Jefferson County,Jefferson Co High School,5,5,5,5,NA
450,22,Jefferson County,Maury Middle School,5,5,4,5,4
450,30,Jefferson County,New Market Elementary,4,3,5,4,NA
450,35,Jefferson County,Piedmont Elementary,3,3,2,3,NA
450,40,Jefferson County,Rush Strong Elementary,3,3,3,3,1
450,55,Jefferson County,Talbott Elementary,2,3,2,2,NA
450,60,Jefferson County,White Pine Elementary,4,4,2,3,5
450,70,Jefferson County,Mount Horeb Elementary School,3,5,1,3,NA
460,5,Johnson County,Doe Elementary,2,3,3,3,1
460,15,Johnson County,Johnson Co High School,3,4,1,3,5
460,16,Johnson County,Johnson Co Middle School,2,1,2,1,5
460,20,Johnson County,Laurel Elementary,3,3,3,3,NA
460,25,Johnson County,Mountain City Elementary,4,3,4,3,5
460,33,Johnson County,Roan Creek Elementary,5,3,5,5,5
460,35,Johnson County,Shady Valley Elementary,3,2,5,3,NA
470,2,Knox County,Amherst Elementary School,2,1,3,2,NA
470,3,Knox County,Adrian Burnett Elementary,4,3,5,4,NA
470,8,Knox County,Richard Yoakley School,1,1,1,1,1
470,9,Knox County,Austin East High/Magnet,1,3,1,1,3
470,10,Knox County,Ball Camp Elementary,3,2,4,3,NA
470,12,Knox County,Bearden Elementary,3,1,3,3,NA
470,14,Knox County,Bearden Middle School,5,5,1,5,5
470,15,Knox County,Blue Grass Elementary,5,3,5,5,NA
470,17,Knox County,Bearden High School,3,5,2,3,5
470,20,Knox County,Bonny Kate Elementary,1,2,1,1,NA
470,22,Knox County,Beaumont Elementary/Magnet,1,3,1,1,NA
470,24,Knox County,Belle Morris Elementary,1,2,1,1,NA
470,25,Knox County,Brickey McCloud Elementary,3,4,1,3,NA
470,30,Knox County,Carter Elementary,2,3,2,2,NA
470,35,Knox County,Carter High School,5,3,5,5,5
470,37,Knox County,Carter Middle School,5,5,2,4,5
470,40,Knox County,Cedar Bluff Elementary,3,3,3,3,NA
470,45,Knox County,Cedar Bluff Middle School,1,2,1,1,2
470,47,Knox County,Central High School,5,5,5,5,4
470,51,Knox County,Copper Ridge Elementary,3,3,3,3,NA
470,53,Knox County,Chilhowee Intermediate,1,1,1,1,NA
470,55,Knox County,Corryton Elementary,4,4,3,4,NA
470,59,Knox County,Dogwood Elementary,2,3,2,2,NA
470,61,Knox County,Christenberry Elementary,5,3,5,5,NA
470,65,Knox County,South Doyle High School,5,5,3,5,1
470,66,Knox County,A L Lotts Elementary,1,1,1,1,NA
470,67,Knox County,South Doyle Middle School,2,4,3,3,1
470,68,Knox County,East Knox Elementary,2,3,2,2,NA
470,72,Knox County,Farragut Intermediate,5,5,5,5,NA
470,75,Knox County,Farragut Middle School,5,5,5,5,5
470,80,Knox County,Farragut High School,5,2,5,5,5
470,85,Knox County,Gap Creek Elementary,3,3,3,3,NA
470,87,Knox County,Fountain City Elementary,3,3,4,3,NA
470,90,Knox County,Fulton High School,1,2,1,1,5
470,95,Knox County,Gibbs Elementary,5,5,5,5,NA
470,100,Knox County,Gibbs High School,1,2,1,1,3
470,110,Knox County,Halls Elementary,5,3,5,5,NA
470,112,Knox County,Green Magnet Math And Science Academy,1,3,1,1,NA
470,115,Knox County,Halls High School,5,3,4,4,5
470,117,Knox County,Gresham Middle School,2,5,1,3,1
470,120,Knox County,Halls Middle School,3,2,5,4,2
470,122,Knox County,Holston Middle School,1,1,1,1,3
470,124,Knox County,Hardin Valley Elementary,1,2,1,1,NA
470,126,Knox County,Hardin Valley Academy,5,3,5,5,5
470,138,Knox County,Inskip Elementary,1,3,1,1,NA
470,145,Knox County,Karns Elementary,1,2,1,1,NA
470,147,Knox County,Karns Middle School,1,3,1,1,4
470,150,Knox County,Karns High School,2,3,1,1,5
470,158,Knox County,Knox Adaptive Education Center,3,3,3,3,NA
470,165,Knox County,Lonsdale Elementary,2,2,2,2,NA
470,168,Knox County,Maynard Elementary,1,3,1,1,NA
470,170,Knox County,Mt Olive Elementary,5,5,5,5,NA
470,172,Knox County,Mooreland Heights Elementary,3,3,3,3,NA
470,175,Knox County,New Hopewell Elementary,5,4,5,5,NA
470,177,Knox County,Norwood Elementary,1,2,1,1,NA
470,180,Knox County,Powell Elementary,2,1,4,2,NA
470,182,Knox County,Powell Middle School,1,1,1,1,2
470,185,Knox County,Powell High School,4,3,3,2,5
470,187,Knox County,Northwest Middle School,1,1,1,1,1
470,195,Knox County,Ritta Elementary,4,3,5,4,NA
470,202,Knox County,Pleasant Ridge Elementary,4,3,5,4,NA
470,207,Knox County,Pond Gap Elementary,3,3,3,3,NA
470,212,Knox County,Ridgedale Alternative School,1,3,2,2,2
470,235,Knox County,Rocky Hill Elementary,3,1,4,3,NA
470,250,Knox County,Sarah Moore Greene Magnet Technology Academy,5,4,5,5,NA
470,255,Knox County,Sequoyah Elementary,3,3,4,3,NA
470,260,Knox County,Shannondale Elementary,5,5,5,5,NA
470,265,Knox County,South Knox Elementary,2,2,3,2,NA
470,280,Knox County,Spring Hill Elementary,3,3,2,3,NA
470,285,Knox County,Sterchi Elementary,3,3,3,3,NA
470,295,Knox County,Vine Middle/Magnet,1,1,1,1,1
470,300,Knox County,West Haven Elementary,1,1,1,1,NA
470,305,Knox County,West High School,5,5,3,5,5
470,310,Knox County,West Hills Elementary,5,3,5,5,NA
470,313,Knox County,West Valley Middle School,5,5,5,5,5
470,315,Knox County,West View Elementary,4,4,4,4,NA
470,320,Knox County,Whittle Springs Middle School,1,2,2,2,2
470,332,Knox County,Dr. Paul L. Kelley Volunteer Academy,2,NA,2,2,3
470,334,Knox County,L N STEM Academy,3,5,2,3,3
470,336,Knox County,Northshore Elementary School,5,3,5,5,NA
470,345,Knox County,Career Magnet Academy,5,5,2,4,5
470,350,Knox County,Gibbs Middle School,1,1,1,1,5
470,355,Knox County,Hardin Valley Middle School,5,5,5,5,5
470,8001,Knox County,Emerald Academy,1,3,1,2,1
480,5,Lake County,Lake Co High School,3,3,3,3,4
480,10,Lake County,Lara Kendall Elementary,2,2,3,2,3
480,15,Lake County,Margaret Newton Elementary,4,5,3,4,NA
490,20,Lauderdale County,Halls Elementary School,2,3,3,2,3
490,23,Lauderdale County,Halls High School,1,2,1,1,1
490,24,Lauderdale County,Halls Junior High School,1,3,1,1,3
490,25,Lauderdale County,Ripley Middle School,1,1,1,1,3
490,40,Lauderdale County,Ripley High School,1,2,1,1,NA
490,55,Lauderdale County,Ripley Elementary,3,4,3,3,NA
500,13,Lawrence County,E O Coffman Middle School,1,1,1,1,2
500,15,Lawrence County,David Crockett Elementary,5,4,5,5,NA
500,20,Lawrence County,Ethridge Elementary,1,1,1,1,1
500,30,Lawrence County,Ingram Sowell Elementary,1,1,1,1,NA
500,40,Lawrence County,Lawrence Co High School,2,1,4,2,NA
500,45,Lawrence County,Lawrenceburg Public,4,3,5,4,NA
500,50,Lawrence County,Leoma Elementary,2,2,4,3,1
500,60,Lawrence County,South Lawrence Elementary,1,1,2,1,3
500,65,Lawrence County,Loretto High School,2,3,2,3,2
500,70,Lawrence County,New Prospect Elementary,3,2,4,3,3
500,90,Lawrence County,Summertown Elementary,5,5,5,5,3
500,95,Lawrence County,Summertown High School,2,1,4,3,1
510,3,Lewis County,Lewis County Middle School,2,2,5,3,1
510,10,Lewis County,Lewis Co High School,1,3,1,1,3
510,20,Lewis County,Lewis County Intermediate School,1,3,1,1,NA
520,10,Lincoln County,Blanche School,3,2,5,4,1
520,25,Lincoln County,Lincoln County Ninth Grade Academy,2,3,2,2,NA
520,45,Lincoln County,Flintville School,3,4,2,3,3
520,50,Lincoln County,Highland Rim School,1,2,1,1,2
520,56,Lincoln County,Lincoln County High School,3,5,1,3,5
520,82,Lincoln County,South Lincoln School,5,5,5,5,4
520,90,Lincoln County,Unity School,2,3,2,2,1
521,7,Fayetteville,Fayetteville Middle School,5,5,5,5,1
521,10,Fayetteville,Fayetteville High School,1,1,1,1,2
521,20,Fayetteville,Ralph Askins School,5,1,5,5,NA
530,15,Loudon County,Eaton Elementary,5,5,5,5,NA
530,18,Loudon County,Ft Loudoun Middle School,2,2,5,3,1
530,25,Loudon County,Greenback School,5,3,3,3,5
530,30,Loudon County,Highland Park Elementary,5,3,5,5,NA
530,35,Loudon County,Loudon Elementary,5,5,5,5,NA
530,40,Loudon County,Loudon High School,5,2,5,5,5
530,48,Loudon County,North Middle School,5,2,5,5,5
530,50,Loudon County,Philadelphia Elementary,4,4,5,5,1
530,55,Loudon County,Steekee Elementary,2,1,3,2,NA
531,5,Lenoir City,Lenoir City High School,3,3,5,5,1
531,10,Lenoir City,Lenoir City Intermediate/Middle School,5,5,5,5,5
531,30,Lenoir City,Lenoir City Elementary,5,3,5,5,NA
540,10,McMinn County,Calhoun Elementary,2,2,2,2,2
540,15,McMinn County,Central High School,5,4,3,4,5
540,25,McMinn County,E K Baker Elementary,1,1,2,1,3
540,30,McMinn County,Englewood Elementary,5,3,5,5,3
540,45,McMinn County,McMinn High School,1,1,1,1,3
540,50,McMinn County,Mountain View Elementary,3,3,1,1,5
540,55,McMinn County,Niota Elementary,1,2,1,1,5
540,60,McMinn County,Riceville Elementary,4,2,5,4,3
540,65,McMinn County,Rogers Creek Elementary,4,4,4,4,3
541,5,Athens,Athens City Middle School,5,5,5,5,4
541,25,Athens,North City Elementary,2,1,3,2,NA
541,30,Athens,Westside Elementary,3,3,3,3,NA
542,7,Etowah,Etowah Elementary,5,4,5,5,1
550,5,McNairy County,Adamsville Elementary,3,3,3,3,3
550,10,McNairy County,Adamsville Junior / Senior High School,1,1,1,1,1
550,15,McNairy County,Bethel Springs Elementary,5,3,5,5,3
550,20,McNairy County,McNairy Central High School,3,3,4,3,3
550,25,McNairy County,Michie Elementary,1,1,1,1,3
550,30,McNairy County,Ramer Elementary,2,3,1,2,3
550,40,McNairy County,Selmer Elementary,1,3,1,1,NA
550,45,McNairy County,Selmer Middle School,3,4,5,5,1
560,5,Macon County,Central Elementary,5,5,5,5,NA
560,20,Macon County,Macon County Junior High School,5,5,1,3,5
560,21,Macon County,Macon County High School,1,1,3,1,NA
560,22,Macon County,Lafayette Elementary School,2,3,1,2,NA
560,25,Macon County,Red Boiling Springs Elementary,3,3,2,3,NA
560,30,Macon County,Red Boiling Springs School,3,3,1,2,4
560,35,Macon County,Westside Elementary,3,2,5,3,NA
570,6,Madison County,Alexander Elementary School,4,3,5,4,NA
570,14,Madison County,Arlington Elementary School,1,2,1,1,NA
570,21,Madison County,Denmark Elementary,2,2,3,2,NA
570,22,Madison County,Jackson Central-Merry Early College High,5,5,5,5,3
570,24,Madison County,Rose Hill School,1,1,1,1,1
570,38,Madison County,Isaac Lane Technology Magnet Elementary,4,3,4,4,NA
570,53,Madison County,Liberty Technology Magnet High School,1,2,1,1,1
570,56,Madison County,Lincoln Elementary School,3,2,3,3,NA
570,63,Madison County,Madison Academic Magnet High School,5,5,5,5,3
570,71,Madison County,North Side High School,1,2,1,1,2
570,76,Madison County,Northeast Middle School,3,1,5,3,3
570,86,Madison County,Community Montessori School,5,5,5,5,3
570,100,Madison County,Pope School,2,3,1,1,5
570,102,Madison County,South Elementary,2,3,1,2,NA
570,105,Madison County,South Side High School,5,3,5,5,3
570,111,Madison County,Thelma Barker Elementary,1,1,1,1,NA
570,125,Madison County,Parkview Learning Center,1,1,1,1,2
570,130,Madison County,West-Bemis Middle School,1,1,4,2,1
570,140,Madison County,East Elementary School,1,1,4,1,NA
570,142,Madison County,North Parkway Middle School,1,3,1,1,2
570,144,Madison County,Jackson Career Technology Magnet Elementary,3,1,5,4,1
570,146,Madison County,Andrew Jackson Elementary School,4,3,4,4,NA
580,21,Marion County,Jasper Elementary School,2,2,3,2,NA
580,23,Marion County,Jasper Middle School,2,3,1,2,3
580,25,Marion County,Marion Co High School,1,3,1,1,3
580,30,Marion County,Monteagle Elementary,3,1,5,3,2
580,50,Marion County,South Pittsburg Elementary,1,1,2,1,3
580,55,Marion County,South Pittsburg High School,1,2,1,1,2
580,63,Marion County,Whitwell Elementary,5,5,5,5,NA
580,65,Marion County,Whitwell Middle School,1,2,1,1,3
580,70,Marion County,Whitwell High School,2,4,1,2,3
581,5,Richard City,Richard Hardy Memorial School,3,4,4,4,2
590,7,Marshall County,Chapel Hill Elementary,2,1,3,2,NA
590,18,Marshall County,Cornersville Elementary,5,3,5,5,2
590,20,Marshall County,Cornersville School,1,3,3,3,1
590,30,Marshall County,Forrest School,3,1,3,2,3
590,41,Marshall County,Lewisburg Middle School,1,3,1,1,1
590,43,Marshall County,Marshall Elementary,3,4,1,3,NA
590,47,Marshall County,Marshall Co High School,4,3,4,3,5
590,60,Marshall County,Westhills Elementary,5,5,4,5,1
590,65,Marshall County,Delk-Henson Intermediate School,1,2,1,1,1
600,5,Maury County,J. R. Baker Elementary,2,2,3,2,NA
600,10,Maury County,J. Brown Elementary,3,3,3,3,NA
600,15,Maury County,Columbia Central High School,3,2,5,3,1
600,30,Maury County,Culleoka Unit School,1,1,3,2,1
600,33,Maury County,E. A. Cox Middle School,1,2,1,1,1
600,40,Maury County,Hampshire Unit School,2,2,3,3,1
600,45,Maury County,Highland Park Elementary,1,1,1,1,NA
600,50,Maury County,J E Woodard Elementary,5,5,5,5,NA
600,53,Maury County,Marvin Wright Elementary School,1,2,2,1,NA
600,55,Maury County,McDowell Elementary,1,2,1,1,NA
